complete_sentence,question_text,english_translation,hint,alternate_correct_responses,option_a,option_b,option_c,option_d,correct_option,cefr_level,topic,explanation,resource
"Giuseppe insegna matematica, lui è un insegnante.","Giuseppe insegna matematica, lui è un ___.","Giuseppe teaches mathematics, he is a teacher.","","","dentista","pittore","meccanico","insegnante","D","A1","Professioni (base)","Someone who teaches ('insegna') is a teacher ('insegnante'). The other options correspond to dentist, painter, and mechanic.","https://www.lawlessitalian.com/vocabulary/professions/"
"A me piacciono i gatti.","A me ___ i gatti.","I like cats.","","","piacciono","piace","piacciamo","piaci","A","A1","Piacere (uso base: piace/piacciono)","Use 'piacciono' (they are pleasing) when the thing that is liked is plural. Since 'i gatti' (cats) is plural, we use 'piacciono' not 'piace'.","https://www.lawlessitalian.com/grammar/verbs/piacere/"
"Come ti chiami?","___ ti chiami?","What is your name?","","","Come","Dove","Quando","Perché","A","A1","Parole interrogative","The interrogative word 'come' means 'how' or 'what' and is used in the expression 'Come ti chiami?' to ask someone's name.","https://www.lawlessitalian.com/grammar/adverbs/interrogative-adverbs/"
"Quanti anni hai?","___ anni hai?","How old are you?","","","Quanti","Quanto","Quanta","Quale","A","A1","Parole interrogative","The interrogative adjective 'quanti' (how many) agrees with the masculine plural noun 'anni' (years). Use 'Quanti anni hai?' to ask someone's age.","https://www.lawlessitalian.com/grammar/adjectives/interrogative-adjectives/"
"Loro sono italiani.","Loro ___ italiani.","They are Italian.","","","sono","siamo","sei","è","A","A1","Verbo essere (to be)","The verb 'essere' (to be) conjugated for third person plural 'loro' (they) is 'sono'.","https://www.lawlessitalian.com/grammar/verbs/essere/"
"Buongiorno, come stai?","___, come stai?","Good morning, how are you?","","","Buongiorno","Buonanotte","Arrivederci","Grazie","A","A1","Espressioni comuni","The common greeting 'Buongiorno' (good morning/good day) is used to greet someone during daytime hours, typically until late afternoon.","https://www.lawlessitalian.com/vocabulary/greetings/"
"Maria parla italiano molto bene.","Maria parla italiano molto ___.","Maria speaks Italian very well.","","","bene","buono","buona","male","A","A1","Avverbi di modo base (bene, male, velocemente, lentamente)","The adverb 'bene' (well) is used to modify the verb 'parla'. 'Buono/buona' are adjectives meaning 'good' and cannot modify verbs. 'Male' means 'badly' which contradicts the positive context.","https://www.lawlessitalian.com/grammar/adverbs/"
"Loro sono studenti di medicina.","Loro ___ studenti di medicina.","They are medical students.","","","sono","siamo","è","sei","A","A1","Verbo essere (to be)","The verb 'essere' in the third person plural (loro) is 'sono'. This matches the plural subject 'loro' and the plural noun 'studenti'.","https://www.lawlessitalian.com/grammar/verbs/essere/"
"Io ascolto la musica ogni giorno.","Io ___ la musica ogni giorno.","I listen to music every day.","","","ascolto","ascoltano","ascolti","ascolta","A","A1","Presente indicativo: verbi regolari -are","The verb 'ascoltare' (to listen) is a regular -are verb. The first person singular (io) form is conjugated by removing -are and adding -o: ascolto.","https://www.lawlessitalian.com/grammar/verbs/regular-verbs-are/"
"Sono le tre e mezza.","Sono le tre ___ mezza.","It's three thirty.","","","e","a","di","con","A","A1","Orario (telling time)","When telling time in Italian, 'e' (and) is used to add minutes to the hour. 'Tre e mezza' means 'three and a half' or 'three thirty'.","https://www.lawlessitalian.com/vocabulary/time/"
"I miei genitori abitano a Roma.","I miei ___ abitano a Roma.","My parents live in Rome.","","","genitori","fratello","nonna","cugina","A","A1","Famiglia","The plural article 'i miei' (my) and plural verb 'abitano' (they live) require a plural noun. 'Genitori' (parents) is the only plural option that correctly completes the sentence.","https://www.lawlessitalian.com/vocabulary/family/"
"Questa casa è molto grande.","___ casa è molto grande.","This house is very big.","","","Questa","Questo","Questi","Queste","A","A1","Dimostrativi (base)","The demonstrative adjective must agree in gender and number with the noun. 'Casa' is feminine singular, so 'questa' (this) is correct. 'Questo' is masculine, while 'questi/queste' are plural forms.","https://www.lawlessitalian.com/grammar/adjectives/demonstrative-adjectives/"
"Buongiorno Signor Rossi, come sta Lei?","Buongiorno Signor Rossi, come ___ Lei?","Good morning Mr. Rossi, how are you?","formal","","sta","stai","state","stanno","A","A1","Saluti, presentazioni, tu/Lei","When addressing someone with the formal 'Lei' (indicated here by the title 'Signor Rossi'), use the third person singular form of the verb 'stare' (sta). 'Stai' is informal.","https://www.lawlessitalian.com/grammar/formal-informal/"
"Io mangio un panino perché ho fame.","Io mangio un panino perché ___ fame.","I eat a sandwich because I am hungry.","verb 'avere'","","ho","sono","faccio","sto","A","A1","Espressioni comuni","In Italian, hunger is expressed with the verb 'avere' (to have), not 'essere' (to be). The phrase is 'avere fame' (literally: to have hunger).","https://www.lawlessitalian.com/expressions/avere-expressions/"
"Il professore parla lentamente per gli studenti.","Il professore parla ___ per gli studenti.","The professor speaks slowly for the students.","adverb","","lentamente","lento","lenta","lente","A","A1","Avverbi di modo base (bene, male, velocemente, lentamente)","To describe *how* the professor speaks (the verb), use the adverb 'lentamente'. 'Lento' is an adjective used to describe nouns.","https://www.lawlessitalian.com/grammar/adverbs/"
"In inverno fa molto freddo.","In ___ fa molto freddo.","In winter it is very cold.","","","inverno","estate","luglio","agosto","A","A1","Stagioni","The season associated with cold weather ('freddo') is 'inverno' (winter). 'Estate' is summer, and 'luglio/agosto' are summer months.","https://www.lawlessitalian.com/vocabulary/seasons/"
"Noi compriamo le mele al mercato.","Noi compriamo le ___ al mercato.","We buy the apples at the market.","feminine plural","","mele","mela","melo","meli","A","A1","Nomi: genere e numero","The definite article 'le' indicates a feminine plural noun. 'Mele' is the feminine plural of 'mela'. ('Melo' is the apple tree).","https://www.lawlessitalian.com/grammar/nouns-gender-number/"
"Il cielo è azzurro oggi.","Il cielo è ___ oggi.","The sky is blue today.","","","azzurro","azzurra","azzurri","azzurre","A","A1","Colori","Adjectives must agree with the noun they modify. 'Il cielo' is masculine singular, so the correct color form is 'azzurro'.","https://www.lawlessitalian.com/grammar/color-adjectives/"
"Buonasera, Dottore. Come sta Lei?","Buonasera, Dottore. Come ___ Lei?","Good evening, Doctor. How are you?","formal","","sta","stai","stanno","stiamo","A","A1","Saluti, presentazioni, tu/Lei","When addressing someone with a title like 'Dottore' or using 'Lei', you must use the third person singular form of the verb 'stare'. 'Sta' is formal, while 'stai' is informal.","https://www.lawlessitalian.com/grammar/tu-vs-lei/"
"— Grazie per l'aiuto! — Prego!","— Grazie per l'aiuto! — ___!","— Thanks for the help! — You're welcome!","","","Prego","Per favore","Scusi","Buonanotte","A","A1","Espressioni comuni","The standard response to 'Grazie' (Thank you) is 'Prego' (You're welcome). 'Per favore' means 'please'.","https://www.lawlessitalian.com/vocabulary/politeness/"
"Io non capisco. Per favore, parli lentamente.","Io non capisco. Per favore, parli ___.","I do not understand. Please, speak slowly.","adverb","","lentamente","lento","buono","felice","A","A1","Avverbi di modo base (bene, male, velocemente, lentamente)","Adverbs of manner describe how an action is performed. 'Lentamente' (slowly) is the adverb form corresponding to the adjective 'lento'.","https://www.lawlessitalian.com/grammar/adverbs/"
"In Italia fa molto caldo in estate.","In Italia fa molto caldo in ___.","In Italy it is very hot in summer.","","","estate","inverno","autunno","gennaio","A","A1","Stagioni","The context 'fa molto caldo' (it is very hot) refers to the season of 'estate' (summer).","https://www.lawlessitalian.com/vocabulary/seasons/"
"Io mangio le mele rosse.","Io mangio le ___ rosse.","I eat the red apples.","","","mele","mela","melo","meleti","A","A1","Nomi: genere e numero","The articles and adjectives 'le' and 'rosse' are feminine plural. Therefore, the noun must also be feminine plural ('mele'). 'Mela' is singular.","https://www.lawlessitalian.com/grammar/nouns-gender-number/"
"La mia penna nuova è nera.","La mia penna nuova è ___.","My new pen is black.","","","nera","nero","neri","nere","A","A1","Colori","Adjectives describing 'penna' (feminine singular) must also be feminine singular. 'Nera' matches the gender and number of 'penna'.","https://www.lawlessitalian.com/grammar/colors/"
"Io porto una giacca blu.","Io porto una ___ blu.","I am wearing a blue jacket.","","","giacca","scarpe","pantaloni","calzini","A","A1","Abbigliamento","The feminine singular article 'una' requires a feminine singular noun. 'Giacca' (jacket) is feminine singular, while the other options are either masculine or plural.","https://www.lawlessitalian.com/vocabulary/clothing/"
"Io non ho fame.","Io ___ ho fame.","I am not hungry.","","","non","mai","niente","nessuno","A","A1","Forme negative semplici","The basic negative form in Italian uses 'non' placed directly before the verb. 'Non ho' means 'I do not have' or 'I am not'.","https://www.lawlessitalian.com/grammar/negation/"
"Le ragazze sono alte.","Le ragazze sono ___.","The girls are tall.","","","alte","alto","alta","alti","A","A1","Aggettivi: accordo base","Adjectives must agree in gender and number with the noun they modify. 'Ragazze' is feminine plural, so the adjective 'alto' becomes 'alte'.","https://www.lawlessitalian.com/grammar/adjectives/agreement/"
"Io vivo in Francia.","Io vivo in ___.","I live in France.","","","Francia","francese","Parigi","italiano","A","A1","Geografia: paesi, città, nazionalità","Country names like 'Francia' (France) are used with the preposition 'in' to indicate location. 'Francese' is the nationality/language, and 'Parigi' is a city, not a country.","https://www.lawlessitalian.com/vocabulary/countries/"
"Questi libri sono interessanti.","___ libri sono interessanti.","These books are interesting.","","","Questi","Questo","Questa","Queste","A","A1","Dimostrativi (base)","The demonstrative adjective must agree in gender and number with the noun. 'Libri' is masculine plural, so 'questi' (these) is correct. 'Questo' is masculine singular, 'questa' is feminine singular, and 'queste' is feminine plural.","https://www.lawlessitalian.com/grammar/adjectives/demonstrative-adjectives/"
"Voi leggete il giornale la domenica.","Voi ___ il giornale la domenica.","You read the newspaper on Sundays.","","","leggete","legge","leggono","leggo","A","A1","Presente indicativo: verbi regolari -ere","The verb 'leggere' (to read) is a regular -ere verb. The second person plural (voi) form is conjugated by removing -ere and adding -ete: leggete.","https://www.lawlessitalian.com/grammar/verbs/regular-verbs-ere/"
"Il divano è nel soggiorno.","Il divano è nel ___.","The sofa is in the living room.","","","soggiorno","bagno","giardino","letto","A","A1","Casa (stanze e oggetti)","A sofa ('divano') is typically found in the living room ('soggiorno'). The preposition 'in' contracts with the article 'il' to form 'nel'.","https://www.lawlessitalian.com/vocabulary/house/"
"Io vado al cinema domani sera.","Io vado al cinema ___ sera.","I'm going to the cinema tomorrow evening.","","","domani","ieri","sempre","dopo","A","A1","Espressioni di tempo basilari","The time expression 'domani sera' means 'tomorrow evening'. 'Domani' (tomorrow) is a basic time expression used to indicate the near future.","https://www.lawlessitalian.com/grammar/adverbs/time/"
"Mio zio abita in Canada.","Mio ___ abita in Canada.","My uncle lives in Canada.","","","zio","zia","cugini","nonne","A","A1","Famiglia","The singular possessive 'mio' (my) and singular verb 'abita' (lives) require a singular masculine noun. 'Zio' (uncle) is the correct match. 'Zia' is feminine, while 'cugini' and 'nonne' are plural.","https://www.lawlessitalian.com/vocabulary/family/"
"Questa gonna costa quaranta euro.","Questa gonna costa ___ euro.","This skirt costs forty euros.","","","quaranta","quattordici","quattro","novanta","A","A1","Numeri 0–100 e prezzi","The number 'quaranta' means 'forty' in Italian. When expressing prices, the number comes before 'euro'. Numbers in Italian are invariable except for 'uno'.","https://www.lawlessitalian.com/vocabulary/numbers/"
"Oggi è venerdì, domani è sabato.","Oggi è venerdì, domani è ___.","Today is Friday, tomorrow is Saturday.","","","sabato","domenica","giovedì","lunedì","A","A1","Giorni della settimana","The day that follows Friday (venerdì) is Saturday (sabato).","https://www.lawlessitalian.com/vocabulary/days-of-week/"
"Il sabato noi andiamo al ristorante.","Il ___ noi andiamo al ristorante.","On Saturdays we go to the restaurant.","masculine day","","sabato","domenica","settimana","notte","A","A1","Giorni della settimana","The definite article 'Il' is masculine singular. 'Sabato' is masculine. 'Domenica', 'settimana', and 'notte' are feminine and would require 'La'. Usage: 'Il sabato' implies 'Every Saturday'.","https://www.lawlessitalian.com/vocabulary/days-of-week/"
"Io preparo la cena in cucina.","Io preparo la cena in ___.","I prepare dinner in the kitchen.","","","cucina","bagno","camera","garage","A","A1","Casa (stanze e oggetti)","The room where one prepares dinner (la cena) is the kitchen (cucina).","https://www.lawlessitalian.com/vocabulary/house/"
"Tu devi studiare per l'esame.","Tu ___ studiare per l'esame.","You must study for the exam.","verb 'dovere'","","devi","vuole","possiamo","sanno","A","A1","Verbi modali (uso base: potere, dovere, volere)","The subject is 'tu' (you singular). The verb 'dovere' (must/to have to) is conjugated as 'devi' in the second person singular.","https://www.lawlessitalian.com/grammar/modal-verbs/"
"Noi andiamo al mare in estate.","Noi ___ al mare in estate.","We go to the seaside in summer.","verb 'andare'","","andiamo","facciamo","stiamo","beviamo","A","A1","Verbi irregolari comuni (andare, fare, venire, stare, dare, uscire)","The phrase requires a verb of motion toward a place ('al mare'). 'Andiamo' (from 'andare') means 'we go'.","https://www.lawlessitalian.com/grammar/andare/"
"In questa città ci sono molte macchine.","In questa città ci sono ___ macchine.","In this city there are many cars.","","","molte","molto","molti","molta","A","A1","Molto/Poco (quantificatori e avverbi base)","Here 'molto' functions as an adjective modifying 'macchine'. Since 'macchine' is feminine plural, the adjective must agree and becomes 'molte'.","https://www.lawlessitalian.com/grammar/molto/"
"Noi vogliamo pagare. Il conto, per favore.","Noi vogliamo pagare. Il ___, per favore.","We want to pay. The bill, please.","","","conto","tavolo","menu","piatto","A","A1","Ristorante (frasi base)","When you want to pay at a restaurant, you ask for 'il conto' (the bill/check).","https://www.lawlessitalian.com/vocabulary/restaurant/"
"Questo libro qui è molto interessante.","___ libro qui è molto interessante.","This book here is very interesting.","masculine singular","","Questo","Quello","Questa","Quei","A","A1","Dimostrativi (base)","The word 'qui' (here) indicates proximity, requiring 'questo' (this) rather than 'quello' (that). 'Libro' is masculine singular, so the correct form is 'Questo'.","https://www.lawlessitalian.com/grammar/demonstrative-adjectives/"
"Il numero dopo diciannove è venti.","Il numero dopo diciannove è ___.","The number after nineteen is twenty.","","","venti","dieci","trenta","quindici","A","A1","Numeri 0–100 e prezzi","The number sequence is 'diciannove' (19) followed by 'venti' (20).","https://www.lawlessitalian.com/vocabulary/numbers-1-100/"
"Io ho due cani bianchi.","Io ho due ___ bianchi.","I have two white dogs.","","","cani","cane","gatto","macchina","A","A1","Nomi: genere e numero","The adjective 'bianchi' is masculine plural, and the number is 'due' (two). Therefore, the noun must be masculine plural: 'cani' (dogs).","https://www.lawlessitalian.com/grammar/nouns-gender-number/"
"Maria cerca le sue chiavi di casa.","Maria cerca le ___ chiavi di casa.","Maria is looking for her house keys.","","","sue","sua","suoi","suo","A","A1","Aggettivi possessivi (base)","Possessive adjectives in Italian agree with the object possessed, not the owner. 'Chiavi' is feminine plural, so the possessive must be 'sue'.","https://www.lawlessitalian.com/grammar/possessive-adjectives/"
"Io finisco i compiti alle otto.","Io ___ i compiti alle otto.","I finish my homework at eight.","","","finisco","finire","fino","finisci","A","A1","Presente indicativo: verbi regolari -ire con -isc- (tipo finire)","The verb 'finire' (to finish) is a regular -ire verb that requires the infix -isc- in the present tense for singular forms and third person plural. The first person singular (io) form is 'finisco'.","https://www.lawlessitalian.com/grammar/verbs/regular-verbs-ire/"
"Il mio libro è sul tavolo.","Il ___ libro è sul tavolo.","My book is on the table.","","","mio","mia","miei","tuo","A","A1","Aggettivi possessivi (base)","The possessive adjective 'mio' (my) must agree in gender and number with the noun it modifies. 'Libro' is masculine singular, so we use 'mio'. Possessive adjectives are typically preceded by the definite article.","https://www.lawlessitalian.com/grammar/adjectives/possessive-adjectives/"
"La tua casa è molto bella.","La ___ casa è molto bella.","Your house is very beautiful.","","","tua","tuo","tue","suo","A","A1","Aggettivi possessivi (base)","The possessive adjective must agree with the noun possessed, not the possessor. 'Casa' is feminine singular, so 'tuo' (your) becomes 'tua'.","https://www.lawlessitalian.com/grammar/adjectives/possessive-adjectives/"
"Io vado al cinema stasera.","Io ___ al cinema stasera.","I am going to the cinema tonight.","","","vado","vai","va","andiamo","A","A1","Verbi irregolari comuni (andare, fare, venire, stare, dare, uscire)","The verb 'andare' (to go) is irregular. The first person singular (io) form in the present tense is 'vado'.","https://www.lawlessitalian.com/grammar/verbs/andare/"
"Questo libro è interessante.","___ libro è interessante.","This book is interesting.","","","Questo","Questa","Questi","Quello","A","A1","Dimostrativi (base)","The demonstrative adjective 'questo' (this) must agree in gender and number with the noun. 'Libro' is masculine singular, so we use 'questo'.","https://www.lawlessitalian.com/grammar/adjectives/demonstrative-adjectives/"
"Le ragazze parlano italiano.","___ ragazze parlano italiano.","The girls speak Italian.","","","Le","Il","La","I","A","A1","Nomi: genere e numero","The noun 'ragazza' (girl) is feminine. Its plural form is 'ragazze' and requires the feminine plural definite article 'le'.","https://www.lawlessitalian.com/grammar/nouns/plural/"
"La nostra casa è grande.","La ___ casa è grande.","Our house is big.","","","nostra","nostro","vostro","mia","A","A1","Aggettivi possessivi (base)","The possessive adjective must agree in gender and number with the noun possessed. 'Casa' is feminine singular, so 'nostra' (our, feminine) is correct. 'Nostro' is masculine, 'vostro' means 'your' (plural), and 'mia' means 'my'.","https://www.lawlessitalian.com/grammar/adjectives/possessive-adjectives/"
"Oggi piove e fa freddo.","Oggi piove e fa ___.","Today it's raining and it's cold.","","","freddo","caldo","bello","sole","A","A1","Meteo (base)","The weather expression 'fa freddo' means 'it's cold'. The verb 'fare' is used with weather conditions. Rain ('piove') typically accompanies cold weather, making 'freddo' the logical choice.","https://www.lawlessitalian.com/vocabulary/weather/"
"Lui è francese e vive a Parigi.","Lui è ___ e vive a Parigi.","He is French and lives in Paris.","","","francese","Francia","tedesco","Spagna","A","A1","Geografia: paesi, città, nazionalità","Nationalities in Italian are adjectives that agree with the subject. 'Francese' (French) is correct for someone living in Paris ('Parigi'). 'Francia' is the country name, not the nationality.","https://www.lawlessitalian.com/vocabulary/countries-nationalities/"
"Il mio cane è molto affettuoso.","Il mio ___ è molto affettuoso.","My dog is very affectionate.","","","cane","gatto","uccello","pesce","A","A1","Animali (comuni)","The article 'il' and possessive 'mio' indicate a masculine singular noun. All options are masculine animals, but 'cane' (dog) is most commonly described as 'affettuoso' (affectionate). While other animals can be affectionate, dogs are stereotypically known for this trait.","https://www.lawlessitalian.com/vocabulary/animals/"
"Lei studia medicina all'università.","___ studia medicina all'università.","She studies medicine at the university.","","","Lei","Lui","Noi","Voi","A","A1","Pronomi soggetto","The subject pronoun must match the verb conjugation. 'Studia' is the third person singular form of 'studiare'. 'Lei' (she) is the correct third person singular feminine pronoun that matches this verb form.","https://www.lawlessitalian.com/grammar/pronouns/subject-pronouns/"
"In inverno io porto sempre un cappotto pesante.","In inverno io porto sempre un ___ pesante.","In winter I always wear a heavy coat.","","","cappotto","costume","sandali","pantaloncini","A","A1","Abbigliamento","The article 'un' indicates a masculine singular noun. 'Cappotto' (coat) is the appropriate winter clothing item that can be described as 'pesante' (heavy). 'Costume' (swimsuit), 'sandali' (sandals), and 'pantaloncini' (shorts) are summer items.","https://www.lawlessitalian.com/vocabulary/clothing/"
"Io sono italiano, ma abito in Francia.","Io sono italiano, ___ abito in Francia.","I am Italian, but I live in France.","conjunction","","ma","o","perché","sempre","A","A1","Congiunzioni base (e, ma, o, anche, perché)","The conjunction 'ma' (but) is used to introduce a contrast between being Italian and living in a different country.","https://www.lawlessitalian.com/grammar/conjunctions/"
"Noi andiamo al cinema stasera.","Noi andiamo al cinema ___.","We are going to the cinema tonight.","","","stasera","ieri","settimana","anno","A","A1","Espressioni di tempo basilari","The verb 'andiamo' is in the present tense (indicating a near future action here). 'Stasera' (tonight) fits the context. 'Ieri' requires a past tense. 'Settimana' and 'anno' require articles (la settimana, l'anno).","https://www.lawlessitalian.com/grammar/adverbs-of-time/"
"Marco ha un nuovo lavoro, lui è molto felice.","Marco ha un nuovo lavoro, lui è molto ___.","Marco has a new job, he is very happy.","","","felice","triste","piccolo","basso","A","A1","Emozioni e stati d'animo (base)","Getting a new job is typically a positive event, so 'felice' (happy) is the correct state of mind. 'Triste' means sad.","https://www.lawlessitalian.com/vocabulary/feelings-emotions/"
"In primavera ci sono molti fiori.","In ___ ci sono molti fiori.","In spring there are many flowers.","","","primavera","inverno","autunno","notte","A","A1","Stagioni","The season associated with blooming flowers ('fiori') is 'primavera' (spring).","https://www.lawlessitalian.com/vocabulary/seasons/"
"Dopo la cena, paghiamo il conto.","Dopo la cena, paghiamo il ___.","After dinner, we pay the bill.","","","conto","menu","tavolo","coltello","A","A1","Ristorante (frasi base)","In a restaurant context, what you pay ('paghiamo') at the end of the meal is 'il conto' (the bill).","https://www.lawlessitalian.com/vocabulary/restaurant/"
"Mia madre cucina molto bene.","Mia madre cucina molto ___.","My mother cooks very well.","adverb","","bene","buono","buona","cattiva","A","A1","Avverbi di modo base (bene, male, velocemente, lentamente)","You must use an adverb to modify the verb 'cucina'. 'Bene' (well) is the adverb. 'Buono/buona' are adjectives used to describe nouns (e.g., 'La pizza è buona').","https://www.lawlessitalian.com/grammar/adverbs-of-manner/"
"Il pesce nuota nell'acqua.","Il ___ nuota nell'acqua.","The fish swims in the water.","","","pesce","gatto","cane","cavallo","A","A1","Animali (comuni)","The verb 'nuota' (swims) and the context 'nell'acqua' (in the water) indicate that the subject is 'il pesce' (the fish).","https://www.lawlessitalian.com/vocabulary/animals/"
"Maria pulisce la sua camera ogni sabato.","Maria ___ la sua camera ogni sabato.","Maria cleans her room every Saturday.","","","pulisce","pulisci","puliscono","puliamo","A","A1","Presente indicativo: verbi regolari -ire con -isc- (tipo finire)","'Pulire' is an -isc- verb. For the third person singular (Maria/Lei), the correct conjugation is 'pulisce'.","https://www.lawlessitalian.com/grammar/isc-verbs/"
"Noi andiamo a Milano domani.","Noi andiamo ___ Milano domani.","We are going to Milan tomorrow.","","","a","in","su","tra","A","A1","Preposizioni semplici (uso base)","In Italian, the preposition 'a' is used before names of cities (like Milano, Roma, Parigi). 'In' is used for countries or regions.","https://www.lawlessitalian.com/grammar/prepositions-a-in/"
"Io faccio colazione con caffè e latte.","Io ___ colazione con caffè e latte.","I have breakfast with coffee and milk.","","","faccio","dico","leggo","scrivo","A","A1","Routine quotidiana","The phrase 'to have breakfast' is translated as 'fare colazione' in Italian. 'Faccio' is the first person singular of 'fare'.","https://www.lawlessitalian.com/vocabulary/daily-routine/"
"Ieri era venerdì, oggi è sabato.","Ieri era venerdì, oggi è ___.","Yesterday was Friday, today is Saturday.","","","sabato","domenica","giovedì","lunedì","A","A1","Espressioni di tempo basilari","If 'ieri' (yesterday) was Friday, then 'oggi' (today) must be 'sabato' (Saturday).","https://www.lawlessitalian.com/vocabulary/days-of-the-week/"
"Io uso l'ombrello perché piove.","Io uso l'ombrello perché ___.","I use the umbrella because it is raining.","","","piove","nuota","corre","dorme","A","A1","Meteo (base)","The word 'ombrello' (umbrella) is associated with rain. The verb describing rain is 'piove' (it rains).","https://www.lawlessitalian.com/vocabulary/weather/"
"Il mio cane è bianco.","Il mio ___ è bianco.","My dog is white.","","","cane","gatta","mucca","pesci","A","A1","Animali (comuni)","The article 'Il' and adjective 'bianco' are masculine singular. 'Cane' is masculine singular. 'Gatta' and 'mucca' are feminine; 'pesci' is plural.","https://www.lawlessitalian.com/vocabulary/animals/"
"Tu capisci la lezione.","Tu ___ la lezione.","You understand the lesson.","","","capie","capisci","capisce","capite","B","A1","Presente indicativo: verbi regolari -ire con -isc- (tipo finire)","The verb 'capire' is an -isc- verb. For 'tu' (singular 'you'), the conjugation adds -isci to the stem.","https://www.lawlessitalian.com/grammar/isc-verbs/"
"Noi andiamo a Roma domani.","Noi andiamo ___ Roma domani.","We are going to Rome tomorrow.","","","in","a","da","su","B","A1","Preposizioni semplici (uso base)","In Italian, the preposition 'a' is used with cities (a Roma, a Parigi), whereas 'in' is typically used with countries or regions.","https://www.lawlessitalian.com/grammar/prepositions-a-in/"
"Io mi sveglio alle sette di mattina.","Io mi ___ alle sette di mattina.","I wake up at seven in the morning.","","","sveglia","svegli","sveglio","svegliamo","C","A1","Routine quotidiana","For the first person singular 'Io' (I), the reflexive verb 'svegliarsi' is conjugated as 'mi sveglio'.","https://www.lawlessitalian.com/grammar/reflexive-verbs/"
"Oggi è lunedì, domani è martedì.","Oggi è lunedì, domani è ___.","Today is Monday, tomorrow is Tuesday.","","","martedì","mercoledì","domenica","sabato","A","A1","Espressioni di tempo basilari","The sequence of the days of the week is lunedì (Monday), martedì (Tuesday), mercoledì (Wednesday). Therefore, the day after Monday is 'martedì'.","https://www.lawlessitalian.com/vocabulary/days-of-the-week/"
"In estate fa molto caldo.","In estate ___ molto caldo.","In summer it is very hot.","","","è","fa","ha","sta","B","A1","Meteo (base)","Italian uses the verb 'fare' (to make/do) to describe the weather. 'Fa caldo' translates literally to 'it makes hot', meaning 'it is hot'.","https://www.lawlessitalian.com/vocabulary/weather/"
"A colazione io bevo il caffè.","A colazione io bevo il ___.","For breakfast I drink coffee.","","","caffè","pane","pasta","pizza","A","A1","Cibo e bevande (base)","The verb 'bevo' (I drink) requires a beverage. 'Caffè' (coffee) is the only drinkable option among the choices, while the others are solid foods.","https://www.lawlessitalian.com/vocabulary/food-and-drink/"
"Io ho una macchina rossa.","Io ___ una macchina rossa.","I have a red car.","","","ho","hai","ha","sono","A","A1","Verbo avere (to have)","The verb 'avere' (to have) conjugated for first person singular (io) is 'ho'.","https://www.lawlessitalian.com/grammar/verbs/avere/"
"Loro hanno due figli.","Loro ___ due figli.","They have two children.","","","hanno","ha","ho","avete","A","A1","Verbo avere (to have)","The verb 'avere' (to have) conjugated for third person plural (loro) is 'hanno'.","https://www.lawlessitalian.com/grammar/verbs/avere/"
"Dove abiti?","___ abiti?","Where do you live?","","","Dove","Come","Quando","Chi","A","A1","Parole interrogative","The interrogative adverb 'dove' means 'where' and is used to ask about location or place.","https://www.lawlessitalian.com/grammar/adverbs/interrogative-adverbs/"
"Tu finisci il lavoro domani.","Tu ___ il lavoro domani.","You finish the work tomorrow.","","","finisci","finisce","finisco","finiamo","A","A1","Presente indicativo: verbi regolari -ire con -isc- (tipo finire)","The verb 'finire' (to finish) is a regular -ire verb that requires the infix -isc- in the present tense. The second person singular (tu) form is 'finisci'.","https://www.lawlessitalian.com/grammar/verbs/regular-verbs-ire/"
"Noi capiamo la lezione.","Noi ___ la lezione.","We understand the lesson.","","","capiamo","capisco","capite","capiscono","A","A1","Presente indicativo: verbi regolari -ire con -isc- (tipo finire)","The verb 'capire' (to understand) is a regular -ire verb with -isc-. The first person plural (noi) form is 'capiamo', which does not use the -isc- infix.","https://www.lawlessitalian.com/grammar/verbs/regular-verbs-ire/"
"A colazione io bevo sempre un caffè.","A colazione io bevo sempre un ___.","For breakfast I always drink a coffee.","","","caffè","panino","pizza","biscotto","A","A1","Cibo e bevande (base)","The verb 'bevo' (I drink) requires a beverage. 'Caffè' (coffee) is the only drink among the options. 'Panino', 'pizza', and 'biscotto' are foods that are eaten, not drunk.","https://www.lawlessitalian.com/vocabulary/food-and-drink/"
"Vorrei un tavolo per due persone, per favore.","Vorrei un tavolo ___ due persone, per favore.","I would like a table for two people, please.","","","per","con","di","a","A","A1","Ristorante (frasi base)","When requesting a table at a restaurant, the preposition 'per' (for) is used to indicate the number of people: 'un tavolo per due persone' (a table for two people).","https://www.lawlessitalian.com/vocabulary/restaurant/"
"Loro hanno tre figli piccoli.","Loro ___ tre figli piccoli.","They have three small children.","","","hanno","ha","abbiamo","avete","A","A1","Verbo avere (to have)","The verb 'avere' (to have) in the third person plural (loro) is 'hanno'. This form matches the plural subject 'loro' (they).","https://www.lawlessitalian.com/grammar/verbs/avere/"
"Quel ragazzo è il mio compagno di classe.","___ ragazzo è il mio compagno di classe.","That boy is my classmate.","","","Quel","Quella","Quei","Quelle","A","A1","Dimostrativi (base)","The demonstrative adjective must agree with the noun. 'Ragazzo' is masculine singular, so 'quel' (that) is correct. 'Quella' is feminine singular, while 'quei' and 'quelle' are plural forms.","https://www.lawlessitalian.com/grammar/adjectives/demonstrative-adjectives/"
